rumi,predicted,true
mencelak,منچلق,منچيلق
tercelak,ترچلق,ترچيلق
mencelakai,منچلاکاي,منچلاکاءي
celat,چلت,چلات
mencelat,منچلت,منچلات
celek,چيليق,چلق
tercelek,ترچيليق,ترچلق
celengap,چلڠڤ,چلڠق
tercelengap,ترچلڠڤ,ترچلڠق
celiki,چليقي,چليکي
celorong-celoreng,چلوروڠ٢,چلوروڠ-چلوريڠ
celsius,چيلسيوس,سيلسيوس
celum-celam,چلوم٢,چلوم-چلم
celung-celang,چلوڠ٢,چلوڠ-چلڠ
celus-celas,چلوس٢,چلوس-چلس
cemeeh,چمييه,چميئيه
cemekian,چمکين,چمکيان
cememar,چممر,چيميمر
cememar,چممر,چميمر
cememis,چمميس,چميميس
cemendari,چمندري,چمنداري
cemengkian,چمڠکين,چمڠکيان
cempo,چيمڤو,چمڤو
cena,چنا,چينا
kecenaan,کچناءن,کچيناءن
cendangan,چندڠن,چنداڠن
cenela,چنلا,چنيلا
bercenggang,برچيڠݢڠ,برچڠݢڠ
cengkau,چڠکاو,چيڠکاو
cengkelong,چڠکيلوڠ,چڠکلوڠ
mencengkelong,منچيڠکيلوڠ,منچڠکلوڠ
cengki,چڠکي,چيڠکي
cengkok-beledok,چيڠکوق٢,چيڠکوق-بليدوق
cengkung-cengking,چڠکوڠ٢,چڠکوڠ-چڠکيڠ
cenggung,چڠݢوڠ,چڠݢ-وڠ
centang,چنتڠ,چينتڠ
mencentang,منچنتڠ,منچينتڠ
centang-perenang,چنتڠ-ڤرنڠ,چينتڠ-ڤرينڠ
centet,چينتيت,چنتيت
ceplok,چيڤلوق,چڤلوق
cerakan,چرقن,چراکن
cerancang,چرانچڠ,چرنچڠ
bercerancangan,برچرانچڠن,برچرنچڠن
berceratukan,برچراتوکن,برچراتوقن
mencercai,منچرچاي,منچرچاءي
mencercap,منچرچڤ,منچرڤ
ceri,چري,چيري
cerpenis,چرڤنيس,چرڤينيس
cerung-cerang,چروڠ٢,چروڠ-چرڠ
cetak,چتق,چيتق
cetakan,چتقن,چيتقن
ceterisparibus,چتريسڤاريبوس,سيتريسڤاريبوس
champagne,شمڤݢن,شيمڤين
dicintai,دچينتاي,دچينتاءي
mencintai,منچينتاي,منچينتاءي
cognac,چوݢناچ,کونياک
cola-cala,چولا٢,چولا-چالا
pengecoran,ڤڠيچورن,ڤڠچورن
coreng-moreng,چوريڠ٢,چوريڠ-موريڠ
dicukai,دچوکاءي,دچوکاي
mencukai,منچوکاءي,منچوکاي
bercuki,برچوقي,برچوکي
cutel,چوتيل,چوتل
dab,دب,ضب
dabat,دابت,دابة
dabbatulardi,دبةالردي,دابةارض
dad,داد,ضاد
dafah,دفاح,دفعة
berdaham,بردهم,برداهم
sedahan,سدهن,سداهن
dai,داي,داعي
kedaifan,کدعيفن,کضعيفن
daiman,داءيمن,دايمن
daisi,داءيسي,دايسي
dajal,داجل,دجال
mendajali,مندجلي,مندجالي
dak,دق,دک
sependakap,سڤنداکڤ,سڤندکڤ
daksina,دکسينا,دقسينا
dalalat,دلالت,ضلالة
memperdamai,ممڤرداماءي,ممڤرداماي
dambar,دمبر,دمبار
dammah,دمه,ضمة
dan,دن,دان
dana,دان,دانا
danawa,داناوا,دناوا
terdangka-dangka,تردڠک-دڠک,تردڠکا-دڠک
dangkal,داڠکل,دڠکل
berdangkung,بردڠکوڠ,برداڠکوڠ
mendangkung,مندڠکوڠ,منداڠکوڠ
dansing,دانسيڠ,دنسيڠ
dar,در,دار
darab,درب,ضرب
didarabkan,ددربکن,دضربکن
pendarab,ڤندرب,ڤنضرب
pendaraban,ڤندربن,ڤنضربن
darat-darau,دارت٢,دارت-داراو
daripada,درڤدا,درڤد
darmabakti,درمبقتي,درمابقتي
darularqam,دارالرکم,داراعرقم
darulharbi,دارالحربي,دارالحرب
darulislam,دارااصلام,دارااسلام
darun,درون,دارون
darurat,درورت,ضرورة
daruri,دروري,ضروري
darussalam,داراسلالم,دارالسلام
data,دات,داتا
dato,داتو,داتوء
datuk,داتوء,داتوق
daulah,داوله,دولة
daun-daunan,داءون٢,داءون-داءونن
daur,داءور,داءرو
mendawai,منداواءي,منداواي
mendaya,منداي,مندايا
debab,دبب,ديبب
mendebarkan,منديبرکن,مندبرکن
debat,دبت,ديبت
berdebat,بردبت,برديبت
berdebat-debatan,بردبت-ديبتن,برديبت-ديبتن
debentur,ديبنتور,ديبينتور
mendebik,منديبيق,مندبيق
debut,دبوت,ديبوت
decak,دچق,ديچق
dedari,ددري,دداري
dedek,ديديق,ددق
dedeman,ددمن,دديمن
mendeduksikan,منديدوقسيکن,منديدوکسيکن
degap-degup,دݢڤ٢,دݢڤ-دݢوڤ
degradasi,دݢراداسي,ديݢراداسي
degum-degam,دݢوم٢,دݢوم-دݢم
dehem,ديهيم,دهيم
dek,ديق,ديک
deka,ديک,ديکا
dekan,دکن,ديکن
dekret,ديکريت,دکريت
delegat,دلݢت,ديلݢت
deler,ديلير,دلير
delinkuen,ديلينکوءن,ديلينکوئن
demen,دمين,دمن
dempek,دمڤق,ديمڤيق
denah,دنه,دينه
mendenda,منديندا,مندندا
dendang,ديندڠ,دندڠ
dengar-dengaran,دڠر٢,دڠر-دڠرن
diperdengarkan,دڤردڠکن,دڤردڠرکن
memperdengarkan,ممڤردڠکن,ممڤردڠرکن
denggi,دڠݢي,ديڠݢي
dengkang,ديڠکڠ,دڠکڠ
berdengkang-dengkang,برديڠکڠ-ديڠکڠ,بردڠکڠ-دڠکڠ
dengki-mendengki,دڠکي٢,دڠکي-مندڠکي
dentin,دنتين,دينتين
dentur,دنتور,دينتور
depa,دڤا,ديڤا
mendepositkan,مندڤوسيتکن,منديڤوسيتکن
menderai,مندراي,مندراءي
derahan,درهن,دراهن
derajat,دراجت,درجت
deram-derum,درم٢,درم-دروم
mendereti,مندرتي,منديريتي
derik,دريق,ديريق
kedesaan,کدساءن,کديساءن
mendesa,مندسا,منديسا
desawan,دساون,ديساون
desibel,دسيبل,ديسيبل
detente,ديتينتي,ديتنتى
devian,ديۏين,ديۏيان
dewana,ديوان,ديوانا
diabetes,ديبيتيس,ديابيتيس
diagram,داݢرم,دياݢرم
diakoni,داکوني,دياکوني
dialek,دياليق,دياليک
didiami,ددعامي,دديامي
diarea,داريا,دياريا
diaspora,داسڤورا,دياسڤورا
diastole,داستولي,دياستولي
mendiatkan,مندياتکن,منديتکن
diayah,دايه,دعايه
dibaja,دباج,ديباج
didaktik,ددقتيک,ديدکتيک
didal,ددل,ديدل
didih,دديه,ديديه
didong,ددوڠ,ديدوڠ
diesel,دايسيل,ديسيل
berdiet,بردييت,برديئت
dietetik,دايتيتيک,ديئيتيتيک
dif,ديف,ضيف
difusi,دفوسي,ديفوسي
digit,دݢيت,ديݢيت
digital,دݢيتل,ديݢيتل
diglosia,دݢلوسيا,ديݢلوسيا
digniti,دݢنيتي,ديݢنيتي
digraf,دݢرف,ديݢرف
dikara,دکارا,ديکارا
dikau,دکاو,ديکاو
dikir,دکير,ديکير
dikit,دکيت,ديکيت
diko,دکو,ديکو
dikotiledon,دکوتيليدون,ديکوتيليدون
dikotomi,دکوتومي,ديکوتومي
dikri,دکري,ديکري
dila,دلا,ديلا
dilah,دله,ديله
dilam,دلم,ديلم
dilema,دليما,ديليما
dimsum,دمسوم,ديمسوم
dimensi,دمينسي,ديمينسي
dimiti,دميتي,ديميتي
dinamik,دناميق,ديناميک
mendinamikkan,منديناميقکن,منديناميککن
dinamis,دناميس,ديناميس
dinamo,دنامو,دينامو
dinas,دنص,دينس
dinasti,دنستي,دينستي
dines,دينيس,دينس
dinihari,دنيهاري,دينيهاري
dinosaur,دنوساءور,دينوساءور
dioksida,داوکسيدا,ديوکسيدا
diorama,داوراما,ديوراما
dipan,دڤن,ديڤن
dipati,دڤاتي,ديڤاتي
diploma,دڤلوما,ديڤلوما
diplomat,دڤلومت,ديڤلومت
diplomatik,دڤلوماتيک,ديڤلوماتيک
dipsomania,دڤسومانيا,ديڤسومانيا
direktorat,دريکتورت,ديريکتورت
dirgahayu,درݢهايو,ديرݢاهايو
disakarida,دساکريدا,ديساکاريدا
diseksi,دسيکسي,ديسيکسي
disenteri,دسينتري,ديسينتري
disertasi,دسرتاسي,ديسرتاسي
disimilasi,دسيميلاسي,ديسيميلاسي
disinfeksi,ديسينفيکسي,ديسئينفيکسي
disinfektan,دسينفيکتن,ديسئينفيکتن
disinflasi,دسينفلاسي,ديسئينفلاسي
disiplin,دسيڤلين,ديسيڤلين
diskaun,دسکاءون,ديسکاءون
disket,دسکيت,ديسکيت
diskriminatif,دسکريميناتيف,ديسکريميناتيف
diskus,دسکوس,ديسکوس
diskusi,دسکوسي,ديسکوسي
dislalia,دسلاليا,ديسلاليا
disopia,دسوڤيا,ديسوڤيا
disorientasi,دسوريئينتاسي,ديسئوريئينتاسي
dispareunia,دسڤاريونيا,ديسڤاريونيا
dispensari,دسڤينسري,ديسڤينساري
distingtif,دستيڠتيف,ديستيڠتيف
distribusi,دستريبوسي,ديستريبوسي
distrik,دستريک,ديستريک
disulfida,دسولفيدا,ديسولفيدا
disuria,دسوريا,ديسوريا
ditto,دتو,ديتو
diuresis,داوريسيس,ديوريسيس
diuretik,داورتيق,ديوريتيک
diurnal,داورنل,ديورنل
diva,دۏا,ديۏا
diversifikasi,دۏرسيفيکاسي,ديۏرسيفيکاسي
diversiti,دۏرسيتي,ديۏرسيتي
dividen,دۏيدين,ديۏيدن
divisyen,دۏيشن,ديۏيشن
doili,دوءيلي,دويلي
dokumentasi,دوکومينتاسي,دوکومنتاسي
mendokumentasikan,مندوکومنتاسيکن,مندکومنتاسيکن
dolak-dalik,دولق٢,دولق-داليق
mengedor,مڠيدور,مڠدور
doyan,دوين,دويان
doyen,دويين,دوين
dramaturgi,دراماتوري,دراماتورݢي
dualapan,دوالڤن,دوالاڤن
dubes,دوبيس,دوبس
menduga-duga,مندوݢ-دوݢ,مندوݢا-دوݢ
terduga-duga,تردوݢ-دوݢ,تردوݢا-دوݢ
duha,دحى,ضحى
berdulang-dulang,بردولڠ٢,بردولڠ-دولڠ
dulapan,دولڤن,دولاڤن
dungari,دوڠري,دوڠاري
duodenum,دوودنوم,دوودينوم
durat,دورت,درة
dures,دوريس,دورس
duriat,دوريت,دورية
dwibudaya,دويبوداي,دويبودايا
dwilambang,دويلمبڠ,دويلامبڠ
dwisyarat,دويشرت,دويشرط
edah,ايده,عده
edema,ايديما,ايدما
edik,ايديق,ايديک
egah,اݢه,ايݢه
mengegah,مڠݢه,مڠيݢه
egerang,اݢرڠ,ايݢرڠ
ekahala,ايکهالا,ايکاهالا
terekeh-ekeh,تريکيه-ايکيه,ترايکيه-ايکيه
berekonomikan,برايکونوميکن,برايکونيميکن
eksperimentalis,ايکسڤيرينتاليس,ايکسڤيريمنتاليس
pengeksploitasian,ڤڠيکسڤلوءيتاسين,مڠيکسڤلوءيتاسين
pengekstrakan,ڤڠيکستراکن,ڤڠيکسترکن
ekstralinguistik,ايکستراليڠوءيستيک,ايکستراليڠݢوءيستيک
berela-ela,بريلا٢,برايلا-ايلا
mengelak,مڠلق,مڠيلق
mengelakkan,مڠلقکن,مڠيلقکن
pengelak,ڤڠلق,ڤڠيلق
pengelakan,ڤڠلقن,ڤڠيلقن
elang,ايلڠ,الڠ
keelastikan,کالستيکن,کايلستيکن
mengelat,مڠلت,مڠيلت
pengelat,ڤڠلت,ڤڠيلت
elektroensefalograf,ايليکتروءنسيفالوݢرف,ايليکتروءينسيفالوݢرف
elektroensefalogram,ايليکتروءيسيلوݢرم,ايليکتروءينسيفالوݢرم
elektroterapeutik,ايليکتروتراڤيوتيک,ايليکتروتيراڤيوتيک
elit,اليت,ايليت
seelok-elok,سايلوق٢,سايلوق-ايلوق
mengelon,مڠلون,مڠيلون
mengeloni,مڠلوني,مڠيلوني
peremasan,ڤرمسن,ڤرامسن
mengembek,مڠيمبيق,مڠمبيق
embek,امبيق,ايمبيق
embel,امبل,ايمبيل
embel-embel,ايمبيل-ايمبيل,ايمبيل٢
mengembel-embeli,مڠيمبيل-ايمبلي,مڠيمبيل-ايمبيلي
terembut-embut,ترمبوت-امبوت,ترامبوت-امبوت
emeritus,ايمريتوس,ايميريتوس
emfisema,ايمفيسما,ايمفيسيما
beremosi,بريموسي,برايموسي
empang-empang,امڤڠ-ايمڤڠ,امڤڠ٢
mengempar,مڠمڤر,مڠيمڤر
empati,امڤاتي,ايمڤاتي
empayar,امڤاير,ايمڤاير
berempayar,برامڤاير,برايمڤاير
empek-empek,ايمڤيق-ايمڤيق,امڤيق٢
mengempek,مڠيمڤيق,مڠمڤيق
empenak,امڤنق,امڤينق
mengempenak,مڠمڤنق,مڠمڤينق
memperemping,ممڤرمڤيڠ,ممڤرامڤيڠ
empirik,ايمڤيريق,ايمڤيريک
empirisime,ايمڤيريسيمى,ايمڤيريسيسمى
empunya,امڤوڽ,امڤوڽا
emsi,امسي,ايمسي
pengemulsi,ڤڠيمولسي,ڤڠايمولسي
pengemulsian,ڤڠيمولسين,ڤڠايمولسين
en,اين,ين
mengenakkan,مڠنقکن,مڠينقکن
seperenam,سڤرنم,سڤرانم
encal-encal,انچل-انچل,انچل٢
memperencik,ممڤرنچيق,ممڤرانچيق
enda-semenda,ايندا-سمندا,اندا-سمندا
endah,انده,اينده
mengendahkan,مڠندهکن,مڠيندهکن
pengendahan,ڤڠندهن,ڤڠيندهن
endas,اندس,انداس
endemik,ايندميق,اينديميک
enek,اينيق,انق
enes,اينيس,انس
mengenes,مڠينيس,مڠنس
mengeneskan,مڠينيسکن,مڠنسکن
mengengah-engah,مڠيڠه-اڠه,مڠڠه-اڠه
engap-engapan,اڠڤ٢,اڠڤ-اڠڤن
mengenggankan,مڠيڠݢنکن,مڠڠݢنکن
enggang,ايڠݢڠ,اڠݢڠ
enggeh,ايڠݢيه,اڠݢيه
berenggilan,برڠݢيلن,براڠݢيلن
engkerurai,اڠکروراي,ايڠکروراي
terengkil,ترڠکيل,تراڠکيل
berengsel,بريڠسيل,برايڠسيل
enjin,انجين,اينجين
enjot,اينجوت,انجوت
terenjut-enjut,ترنجوت-انجوت,ترانجوت-انجوت
enkerabab,اينکرابب,اينکراباب
entah-entah,انته-انته,انته٢
entiti,انتيتي,اينتيتي
entomologi,اينتومولوݢي,اينتيمولوݢي
entong,اينتوڠ,انتوڠ
entriisme,اينتريئسمى,اينتريئيسمى
epal,اڤل,ايڤل
epik,ايڤيق,ايڤيک
erang,ارڠ,ايرڠ
dipererat,دڤررت,دڤرارت
erau,اراو,ايراو
mengerau,مڠراو,مڠيراو
erg,ارݢ,ايرݢ
erotik,اروتيک,ايروتيک
erpah,ارڤه,ايرڤه
keberertian,کبررتين,کبرارتين
esa,ايسا,اسا
beresa-esaan,برايسا-اساءن,براسا-اساءن
esak,اسق,ايسق
esakan,اسقن,ايسقن
mengesak,مڠسق,مڠيسق
espritdecorps,ايسڤريديکورڤس,ايسڤريدکو
etnogeni,ايتنوݢيني,ايتنوݢني
eufemisme,اييوفيميسمى,اييوفميسمى
evasif,ۏۏاسيف,ايۏاسيف
berevolusi,بريۏولوسي,برايۏولوسي
exgratia,ايکسراتيا,ايکسݢراشيا
exofficio,ايکسوففيچيو,ايکساوفيشيو
fabel,فبل,فابل
fadilat,فضيلت,فضيلة
fagosit,فݢوسيت,فاݢوسيت
faharasat,فهراست,فهرست
fahrenheit,فهرنهييت,فهرنهاءيت
fajirah,فجرة,فاجرة
fakir,فکير,فقير
kefakiran,کفاکيرن,کفقيرن
fakultas,فکولتس,فاکولتس
fakultatif,فکولتاتيف,فاکولتاتيف
fakulti,فکولتي,فاکولتي
falah,فله,فلاح
falak,فلق,فلک
famili,فميلي,فاميلي
fana,فنا,فناء
kefanaan,کفاناءن,کفناءن
memfanakan,ممفاناکن,ممفناءکن
fanatik,فناتيک,فاناتيک
fani,فني,فاني
farad,فرد,فارد
faraid,فرعيد,فرائض
fardu,فردو,فرض
memfardukan,ممڤردوکن,ممڤرضوکن
faring,فريڠ,فاريڠ
faringitis,فريڠيتيس,فاريڠيتيس
farinks,فرينکس,فارينکس
fariq,فريق,فارق
farmakopeia,فرماکوڤيا,فرماکوڤييا
fasa,فاس,فاسا
fasih,فسيح,فصيح
kefasihan,کفاسيهن,کفصيحن
memfasihkan,ممفسيحکن,ممفصيحکن
memfasiqkan,ممفاسيقکن,ممفاسقکن
fatal,فطل,فاتل
fatan,فتن,فطن
fatanah,فتانه,فطانة
fatimah,فتيمة,فاتيمه
fatir,فاتير,فطير
fatur,فتور,فاتور
fauna,فونا,فاونا
feminin,فمينين,فيمينين
fengsyui,فيڠشوي,فڠسوي
fibril,فبرل,فيبريل
fidah,فدة,فضة
fidzah,فدة,فضة
fiesta,فيئستا,فيئيستا
memfiksyenkan,ممفيکنکن,ممفيکشنکن
fir,فر,فير
berfirasat,برفراست,برفراسة
firaun,فراءون,فرعون
firma,فرما,فيرما
fisiognomi,فيسيوݢنومي,فيسوݢنومي
fisiologi,فيسيولوݢي,فيسولوݢي
fitnah-memfitnah,فتنه-ممفيتهه,فتنه-ممفتنه
berfitrah,برفتره,برفطره
memfitrahkan,ممفترهکن,ممفطرهکن
fizik,فيزيق,فيزيک
flanelet,فلانلت,فلانيليت
floem,فلوءم,فلوئم
fomes,فوميس,فومس
memformalkan,ممفرملکن,ممفورملکن
fomalis,فوماليس,فورماليس
diformatkan,دفرمتکن,دفورمتکن
memformatkan,ممفرمتکن,ممفورمتکن
pemformatan,ڤمفرمتن,ڤمفورمتن
formulasi,فورمولاسي,فورمالاسي
forwad,فورواد,فورود
fotopeka,فوتوڤيکا,فوتوفيکا
fototerapi,فوتوتيراڤي,فوتوتراڤي
franc,فرن,فرڠک
frankfurter,فرنفکورتر,فرنکفورتر
berfrekuensi,برفريکوءنسي,برفريکوئنسي
fundamental,فوندامينتل,فوندامينتال
fungus,فوڠوس,فوڠݢوس
furqan,فرقن,فرقان
furuk,فروق,فروع
futsal,فطسل,فوتسل
menggabai,مڠݢاباءي,مڠݢاباي
garbadin,ݢربادين,ݢابردين
